"","site","date","prod_vol_purch","prod_type","prod_vol_avail_upcyc","prod_type_unavail_upcyc","prod_vol_unavail_upcyc","meal_period","meal_swipes","recipe_served","prod_vol_in_recipe","recipe_cost","recipe_servings","displaced_recipe","displaced_recipe_vol","displaced_recipe_cost","displaced_recipe_servings","case_when(...)"
"141","rutgers university","27-Nov",NA,"",NA,"",NA,"Dinner ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"142","rutgers university","28-Nov",30,"Bread Ends",2,"0",0,"Breakfast",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"143","rutgers university","28-Nov",NA,"",NA,"",NA,"Lunch ",827,"French Toast Bites",2,0.17,72,NA,NA,NA,NA,NA
"144","rutgers university","28-Nov",NA,"",NA,"",NA,"Dinner ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"145","rutgers university","29-Nov",40,"Bread Ends",2.4,"0",0,"Breakfast",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"146","rutgers university","29-Nov",NA,"",NA,"",NA,"Lunch ",852,"French Toast Bites",2.4,0.17,86,NA,NA,NA,NA,NA
"147","rutgers university","29-Nov",NA,"",NA,"",NA,"Dinner ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"148","rutgers university","30-Nov",40,"Bread Ends",2.6,"0",0,"Breakfast",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"149","rutgers university","30-Nov",NA,"",NA,"",NA,"Lunch ",892,"French Toast Bites",2.6,0.17,93,NA,NA,NA,NA,NA
"150","rutgers university","30-Nov",NA,"",NA,"",NA,"Dinner ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"151","rutgers university","1-Dec",42,"Bread Ends",2.8,"0",0,"Breakfast",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"152","rutgers university","1-Dec",NA,"",NA,"",NA,"Lunch ",765,"French Toast Bites",2.8,0.17,100,NA,NA,NA,NA,NA
"153","rutgers university","1-Dec",NA,"",NA,"",NA,"Dinner ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"154","rutgers university","4-Dec",30,"Bread Ends",2.4,"0",0,"Breakfast",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"155","rutgers university","4-Dec",NA,"",NA,"",NA,"Lunch ",790,"French Toast Bites",2.4,0.17,86,NA,NA,NA,NA,NA
"156","rutgers university","4-Dec",NA,"",NA,"",NA,"Dinner ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"157","rutgers university","5-Dec",30,"Bread Ends",2,"0",0,"Breakfast",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"158","rutgers university","5-Dec",NA,"",NA,"",NA,"Lunch ",874,"French Toast Bites",2,0.17,72,NA,NA,NA,NA,NA
"159","rutgers university","5-Dec",NA,"",NA,"",NA,"Dinner ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"160","rutgers university","6-Dec",30,"Bread Ends",1.5,"0",0,"Breakfast",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"161","rutgers university","6-Dec",NA,"",NA,"",NA,"Lunch ",753,"French Toast Bites",1.5,0.17,54,NA,NA,NA,NA,NA
"162","rutgers university","6-Dec",NA,"",NA,"",NA,"Dinner ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"163","rutgers university","7-Dec",30,"Bread Ends",0.5,"0",0,"Breakfast",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"164","rutgers university","7-Dec",NA,"",NA,"",NA,"Lunch ",853,"French Toast Bites",0.5,0.17,18,NA,NA,NA,NA,NA
"165","rutgers university","7-Dec",NA,"",NA,"",NA,"Dinner ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"166","rutgers university","8-Dec",30,"Bread Ends",0.6,"0",0,"Breakfast",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"167","rutgers university","8-Dec",NA,"",NA,"",NA,"Lunch ",761,"French Toast Bite",0.6,0.17,21,NA,NA,NA,NA,NA
"168","rutgers university","8-Dec",NA,"",NA,"",NA,"Dinner ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"169","rutgers university","11-Dec",30,"Bread Ends ",1.86,"0",0,"Breakfast",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"170","rutgers university","11-Dec",NA,"",NA,"",NA,"Lunch ",789,"French Toast Bites",1.86,0.17,66,NA,NA,NA,NA,NA
"171","rutgers university","11-Dec",NA,"",NA,"",NA,"Dinner ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"172","rutgers university","12-Dec",40,"Bread Ends ",2,"0",0,"Breakfast",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"173","rutgers university","12-Dec",NA,"",NA,"",NA,"Lunch ",803,"French Toast Bites",2,0.17,72,NA,NA,NA,NA,NA
"174","rutgers university","12-Dec",NA,"",NA,"",NA,"Dinner ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"175","rutgers university","13-Dec",30,"Bread Ends ",0.5,"0",0,"Breakfast",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"176","rutgers university","13-Dec",NA,"",NA,"",NA,"Lunch ",888,"French Toast Bites",0.5,0.17,18,NA,NA,NA,NA,NA
"177","rutgers university","13-Dec",NA,"",NA,"",NA,"Dinner ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"178","rutgers university","14-Dec",45,"Bread Ends",1,"0",0,"Breakfast",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"179","rutgers university","14-Dec",NA,"",NA,"",NA,"Lunch ",716,"French Toast Bites",1,0.17,36,NA,NA,NA,NA,NA
"180","rutgers university","14-Dec",NA,"",NA,"",NA,"Dinner ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"181","rutgers university","15-Dec",20,"Bread Ends",2,"0",0,"Breakfast",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"182","rutgers university","15-Dec",NA,"",NA,"",NA,"Lunch ",441,"French Toast Bites",2,0.17,72,NA,NA,NA,NA,NA
"183","rutgers university","15-Dec",NA,"",NA,"",NA,"Dinner ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"184","rutgers university","18-Dec",30,"Bread Ends",2.5,"0",0,"Breakfast",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"185","rutgers university","18-Dec",NA,"",NA,"",NA,"Lunch ",452,"French Toast Bites",2.5,0.17,90,NA,NA,NA,NA,NA
"186","rutgers university","18-Dec",NA,"",NA,"",NA,"Dinner ",NA,"",NA,NA,NA,NA,NA,NA,NA,NA
